tic_id,n_sectors
382033285,41
141210448,41
141154638,41
177252896,41
149347534,41
260161144,41
260189950,41
149154927,41
425064757,41
350583992,41
350583903,41
350711249,41
389444166,41
150249155,41
167308252,41
141184207,41
260542710,41
260507598,41
150357935,41
260267074,41
270557257,41
40795915,41
407661867,41
41533357,41
167344029,41
350842838,41
166972537,41
167005517,41
260128333,41
149572723,41
358402782,41
350708370,41
142087340,41
150394126,41
149177271,41
142086091,41
167339584,41
167304735,41
350716053,41
167525513,41
167163906,41
373777400,41
141944488,41
278779899,41
142019343,41
375035131,41
167042097,41
141268467,41
177255827,41
350861012,41
149497522,41
149302744,41
176960513,41
176955379,41
176954932,41
350342912,41
350860764,41
141281495,41
374997123,41
176873735,41
141943941,41
167206607,41
141708335,41
370228465,41
141914082,41
278988097,41
179637488,41
374911449,41
278731274,41
278776511,41
374911986,41
149176305,41
309617509,41
391813522,41
141093693,41
150299548,41
293272754,41
141868836,41
179304899,41
140998116,41
179209402,41
167417444,41
350433501,41
141685643,41
179308923,41
350619228,41
179308757,41
179305059,41
382159212,41
260352227,41
260351540,41
260502294,41
260475252,41
260502102,41
141611461,41
350431335,41
149989864,41
260416268,41
149059954,41
260368525,41
350518530,41
260372062,41
260369855,41
176872276,41
167574667,40
149423433,40
350478528,40
150320620,40
150301109,40
141090270,40
350519682,40
150100106,40
350431472,40
176935123,40
141609430,40
231742782,40
391813813,40
293225274,40
287407926,40
287405060,40
389624081,40
350655701,40
179574710,40
278865766,40
260005509,40
167303382,40
370225925,40
350434379,40
280865159,40
149252615,40
149539114,40
142015852,40
167119957,40
167088607,40
374859230,40
176955267,40
149539158,40
350857661,40
150164795,40
375058105,40
150432211,40
150429481,40
150167319,40
149988104,40
278825715,40
167305689,40
141481311,40
176981169,40
176980970,40
141545616,40
350712873,40
167554511,40
167552111,40
167526213,40
375034833,40
375034557,40
150442497,40
150442264,40
375062809,40
40717592,40
40717334,40
142086813,40
142086812,40
141608289,40
167554964,40
389924075,40
179038379,40
149304313,40
149473467,40
167415800,40
260160453,40
260239177,40
276934673,40
276943440,40
407662059,40
149120726,40
150357613,40
261260905,40
141029712,40
261061538,40
260188017,40
141807839,40
149346418,40
260192346,40
149101226,40
167364796,40
425068761,40
260418789,40
167572319,40
382157804,40
141624659,40
141155264,40
350520348,40
55404385,40
150101472,40
260415628,40
425057879,39
150098860,39
149039372,39
141621885,39
350585031,39
41463056,39
150062527,39
150105350,39
55402208,39
150248762,39
149972211,39
350295877,39
141771691,39
167415960,39
141610050,39
389921913,39
389749856,39
389669796,39
389663914,39
309658435,39
